id,annotator,start,end,category,class,
0,SYSTEM,0,165,,,
TXT_IMPORTER_1491837511259,TXT_IMPORTER,0,5,paragraph,unit,
TXT_IMPORTER_1491837511260,TXT_IMPORTER,5,31,paragraph,unit,
TXT_IMPORTER_1491837511261,TXT_IMPORTER,31,42,paragraph,unit,
TXT_IMPORTER_1491837511262,TXT_IMPORTER,42,86,paragraph,unit,
TXT_IMPORTER_1491837511263,TXT_IMPORTER,86,93,paragraph,unit,
TXT_IMPORTER_1491837511264,TXT_IMPORTER,93,108,paragraph,unit,
TXT_IMPORTER_1491837511265,TXT_IMPORTER,108,138,paragraph,unit,
TXT_IMPORTER_1491837511266,TXT_IMPORTER,138,165,paragraph,unit,
vsteyer_1491837521144,vsteyer,0,5,Segment1,unit,
vsteyer_1491837529527,vsteyer,35,42,Segment1,unit,
vsteyer_1491837531449,vsteyer,90,93,Segment1,unit,
vsteyer_1491837536267,vsteyer,108,108,Segment1,unit,
vsteyer_1491837537481,vsteyer,93,108,Segment1,unit,
vsteyer_1491837540961,vsteyer,9,31,Segment2,unit,
vsteyer_1491837542867,vsteyer,42,86,Segment2,unit,
vsteyer_1491837552170,vsteyer,112,138,Segment2,unit,
vsteyer_1491837553860,vsteyer,138,165,Segment2,unit,
