id,annotator,start,end,category,class,
0,SYSTEM,0,496,,,
TXT_IMPORTER_1490782325323,TXT_IMPORTER,0,5,paragraph,unit,
TXT_IMPORTER_1490782325324,TXT_IMPORTER,5,119,paragraph,unit,
TXT_IMPORTER_1490782325325,TXT_IMPORTER,119,161,paragraph,unit,
TXT_IMPORTER_1490782325326,TXT_IMPORTER,161,180,paragraph,unit,
TXT_IMPORTER_1490782325327,TXT_IMPORTER,180,294,paragraph,unit,
TXT_IMPORTER_1490782325328,TXT_IMPORTER,294,307,paragraph,unit,
TXT_IMPORTER_1490782325329,TXT_IMPORTER,307,323,paragraph,unit,
TXT_IMPORTER_1490782325330,TXT_IMPORTER,323,353,paragraph,unit,
TXT_IMPORTER_1490782325331,TXT_IMPORTER,353,496,paragraph,unit,
vsteyer_1490782477721,vsteyer,0,5,Segment1,unit,
vsteyer_1490782496529,vsteyer,10,74,Segment2,unit,
vsteyer_1490782518391,vsteyer,75,119,Segment2bis,unit,
vsteyer_1490782535706,vsteyer,124,161,Segment1,unit,
vsteyer_1490782559902,vsteyer,166,179,Segment2,unit,
vsteyer_1490782746295,vsteyer,185,202,Segment1,unit,
vsteyer_1490782767869,vsteyer,203,236,Segment1bis,unit,
vsteyer_1490782780238,vsteyer,237,294,Segment1,unit,
vsteyer_1490782844218,vsteyer,299,307,Segment2,unit,
vsteyer_1490782899723,vsteyer,312,323,Segment1,unit,
vsteyer_1490782942226,vsteyer,328,353,Segment2,unit,
vsteyer_1490783171111,vsteyer,358,391,Segment1,unit,
vsteyer_1490783326827,vsteyer,393,459,Segment1bis,unit,
vsteyer_1490783342828,vsteyer,460,496,Segment1,unit,
