id,annotator,start,end,category,class,
0,SYSTEM,0,491,,,
TXT_IMPORTER_1491835916125,TXT_IMPORTER,0,5,paragraph,unit,
TXT_IMPORTER_1491835916126,TXT_IMPORTER,5,74,paragraph,unit,
TXT_IMPORTER_1491835916127,TXT_IMPORTER,74,118,paragraph,unit,
TXT_IMPORTER_1491835916128,TXT_IMPORTER,118,160,paragraph,unit,
TXT_IMPORTER_1491835916129,TXT_IMPORTER,160,179,paragraph,unit,
TXT_IMPORTER_1491835916130,TXT_IMPORTER,179,201,paragraph,unit,
TXT_IMPORTER_1491835916131,TXT_IMPORTER,201,235,paragraph,unit,
TXT_IMPORTER_1491835916132,TXT_IMPORTER,235,291,paragraph,unit,
TXT_IMPORTER_1491835916133,TXT_IMPORTER,291,304,paragraph,unit,
TXT_IMPORTER_1491835916134,TXT_IMPORTER,304,320,paragraph,unit,
TXT_IMPORTER_1491835916135,TXT_IMPORTER,320,350,paragraph,unit,
TXT_IMPORTER_1491835916136,TXT_IMPORTER,350,389,paragraph,unit,
TXT_IMPORTER_1491835916137,TXT_IMPORTER,389,455,paragraph,unit,
TXT_IMPORTER_1491835916138,TXT_IMPORTER,455,491,paragraph,unit,
vsteyer_1491835992407,vsteyer,0,5,default,unit,
vsteyer_1491836010520,vsteyer,9,74,Segment2,unit,
vsteyer_1491836022151,vsteyer,123,160,Segment1,unit,
vsteyer_1491836030727,vsteyer,74,118,Segment2,unit,
vsteyer_1491836037817,vsteyer,184,201,Segment1,unit,
vsteyer_1491836040359,vsteyer,201,235,Segment1,unit,
vsteyer_1491836042376,vsteyer,235,291,Segment1,unit,
vsteyer_1491836080572,vsteyer,309,320,Segment1,unit,
vsteyer_1491836082325,vsteyer,355,389,Segment1,unit,
vsteyer_1491836084543,vsteyer,389,455,Segment1,unit,
vsteyer_1491836086789,vsteyer,455,491,Segment1,unit,
vsteyer_1491836102218,vsteyer,165,179,Segment2,unit,
vsteyer_1491836104014,vsteyer,296,304,Segment2,unit,
vsteyer_1491836105428,vsteyer,325,350,Segment2,unit,
