id,annotator,start,end,category,class,
0,SYSTEM,0,1365,,,
TXT_IMPORTER_1490786101755,TXT_IMPORTER,0,5,paragraph,unit,
TXT_IMPORTER_1490786101756,TXT_IMPORTER,5,336,paragraph,unit,
TXT_IMPORTER_1490786101757,TXT_IMPORTER,336,350,paragraph,unit,
TXT_IMPORTER_1490786101758,TXT_IMPORTER,350,397,paragraph,unit,
TXT_IMPORTER_1490786101759,TXT_IMPORTER,397,631,paragraph,unit,
TXT_IMPORTER_1490786101760,TXT_IMPORTER,631,652,paragraph,unit,
TXT_IMPORTER_1490786101761,TXT_IMPORTER,652,783,paragraph,unit,
TXT_IMPORTER_1490786101762,TXT_IMPORTER,783,797,paragraph,unit,
TXT_IMPORTER_1490786101763,TXT_IMPORTER,797,1011,paragraph,unit,
TXT_IMPORTER_1490786101764,TXT_IMPORTER,1011,1025,paragraph,unit,
TXT_IMPORTER_1490786101765,TXT_IMPORTER,1025,1111,paragraph,unit,
TXT_IMPORTER_1490786101766,TXT_IMPORTER,1111,1123,paragraph,unit,
TXT_IMPORTER_1490786101767,TXT_IMPORTER,1123,1365,paragraph,unit,
vsteyer_1490786184556,vsteyer,0,5,Segment2,unit,
vsteyer_1490786203462,vsteyer,11,78,Segment1,unit,
vsteyer_1490786215824,vsteyer,78,166,Segment1bis,unit,
vsteyer_1490786229270,vsteyer,167,209,Segment1,unit,
vsteyer_1490786255533,vsteyer,210,336,Segment1bis,unit,
vsteyer_1490786263497,vsteyer,342,349,Segment2,unit,
vsteyer_1490786278242,vsteyer,356,397,Segment1,unit,
vsteyer_1490786293922,vsteyer,403,433,Segment1bis,unit,
vsteyer_1490786339367,vsteyer,434,631,Segment1,unit,
vsteyer_1490786349323,vsteyer,637,652,Segment2,unit,
vsteyer_1490786401648,vsteyer,658,726,Segment1,unit,
vsteyer_1490786412133,vsteyer,728,783,Segment1bis,unit,
vsteyer_1490786419606,vsteyer,789,796,Segment2,unit,
vsteyer_1490786434834,vsteyer,803,886,Segment1,unit,
vsteyer_1490786448862,vsteyer,887,981,Segment1bis,unit,
vsteyer_1490786455275,vsteyer,982,1011,Segment1,unit,
vsteyer_1490786461945,vsteyer,1017,1025,Segment2,unit,
vsteyer_1490786475017,vsteyer,1031,1111,Segment1,unit,
vsteyer_1490786478141,vsteyer,1117,1123,Segment2,unit,
vsteyer_1490786485923,vsteyer,1129,1221,Segment1,unit,
vsteyer_1490786492818,vsteyer,1220,1270,Segment1bis,unit,
vsteyer_1490786506108,vsteyer,1271,1329,Segment1,unit,
vsteyer_1490786510130,vsteyer,1330,1365,Segment1bis,unit,
