id,annotator,start,end,category,class,
0,SYSTEM,0,1112,,,
TXT_IMPORTER_1490783934023,TXT_IMPORTER,0,5,paragraph,unit,
TXT_IMPORTER_1490783934024,TXT_IMPORTER,5,329,paragraph,unit,
TXT_IMPORTER_1490783934025,TXT_IMPORTER,329,356,paragraph,unit,
TXT_IMPORTER_1490783934026,TXT_IMPORTER,356,486,paragraph,unit,
TXT_IMPORTER_1490783934027,TXT_IMPORTER,486,501,paragraph,unit,
TXT_IMPORTER_1490783934028,TXT_IMPORTER,501,574,paragraph,unit,
TXT_IMPORTER_1490783934029,TXT_IMPORTER,574,629,paragraph,unit,
TXT_IMPORTER_1490783934030,TXT_IMPORTER,629,703,paragraph,unit,
TXT_IMPORTER_1490783934031,TXT_IMPORTER,703,717,paragraph,unit,
TXT_IMPORTER_1490783934032,TXT_IMPORTER,717,780,paragraph,unit,
TXT_IMPORTER_1490783934033,TXT_IMPORTER,780,798,paragraph,unit,
TXT_IMPORTER_1490783934034,TXT_IMPORTER,798,973,paragraph,unit,
TXT_IMPORTER_1490783934035,TXT_IMPORTER,973,1030,paragraph,unit,
TXT_IMPORTER_1490783934036,TXT_IMPORTER,1030,1112,paragraph,unit,
TXT_IMPORTER_1490783955991,TXT_IMPORTER,0,5,paragraph,unit,
TXT_IMPORTER_1490783955992,TXT_IMPORTER,5,329,paragraph,unit,
TXT_IMPORTER_1490783955993,TXT_IMPORTER,329,356,paragraph,unit,
TXT_IMPORTER_1490783955994,TXT_IMPORTER,356,486,paragraph,unit,
TXT_IMPORTER_1490783955995,TXT_IMPORTER,486,501,paragraph,unit,
TXT_IMPORTER_1490783955996,TXT_IMPORTER,501,574,paragraph,unit,
TXT_IMPORTER_1490783955997,TXT_IMPORTER,574,629,paragraph,unit,
TXT_IMPORTER_1490783955998,TXT_IMPORTER,629,703,paragraph,unit,
TXT_IMPORTER_1490783955999,TXT_IMPORTER,703,717,paragraph,unit,
TXT_IMPORTER_1490783956000,TXT_IMPORTER,717,780,paragraph,unit,
TXT_IMPORTER_1490783956001,TXT_IMPORTER,780,798,paragraph,unit,
TXT_IMPORTER_1490783956002,TXT_IMPORTER,798,973,paragraph,unit,
TXT_IMPORTER_1490783956003,TXT_IMPORTER,973,1030,paragraph,unit,
TXT_IMPORTER_1490783956004,TXT_IMPORTER,1030,1112,paragraph,unit,
TXT_IMPORTER_1490783956005,TXT_IMPORTER,0,5,paragraph,unit,
TXT_IMPORTER_1490783956006,TXT_IMPORTER,5,329,paragraph,unit,
TXT_IMPORTER_1490783956007,TXT_IMPORTER,329,358,paragraph,unit,
TXT_IMPORTER_1490783956008,TXT_IMPORTER,358,490,paragraph,unit,
TXT_IMPORTER_1490783956009,TXT_IMPORTER,490,505,paragraph,unit,
TXT_IMPORTER_1490783956010,TXT_IMPORTER,505,578,paragraph,unit,
TXT_IMPORTER_1490783956011,TXT_IMPORTER,578,633,paragraph,unit,
TXT_IMPORTER_1490783956012,TXT_IMPORTER,633,707,paragraph,unit,
TXT_IMPORTER_1490783956013,TXT_IMPORTER,707,721,paragraph,unit,
TXT_IMPORTER_1490783956014,TXT_IMPORTER,721,784,paragraph,unit,
TXT_IMPORTER_1490783956015,TXT_IMPORTER,784,802,paragraph,unit,
TXT_IMPORTER_1490783956016,TXT_IMPORTER,802,977,paragraph,unit,
TXT_IMPORTER_1490783956017,TXT_IMPORTER,977,1034,paragraph,unit,
TXT_IMPORTER_1490783956018,TXT_IMPORTER,1034,1116,paragraph,unit,
vsteyer_1490783956019,vsteyer,12,73,default,unit,
vsteyer_1490783956020,vsteyer,74,136,default,unit,
vsteyer_1490783956021,vsteyer,137,210,default,unit,
vsteyer_1490783956022,vsteyer,211,227,default,unit,
vsteyer_1490783956023,vsteyer,228,329,default,unit,
vsteyer_1490783956024,vsteyer,364,486,default,unit,
TXT_IMPORTER_1490783956025,TXT_IMPORTER,0,5,paragraph,unit,
TXT_IMPORTER_1490783956026,TXT_IMPORTER,5,329,paragraph,unit,
TXT_IMPORTER_1490783956027,TXT_IMPORTER,329,356,paragraph,unit,
TXT_IMPORTER_1490783956028,TXT_IMPORTER,356,487,paragraph,unit,
TXT_IMPORTER_1490783956029,TXT_IMPORTER,487,502,paragraph,unit,
TXT_IMPORTER_1490783956030,TXT_IMPORTER,502,575,paragraph,unit,
TXT_IMPORTER_1490783956031,TXT_IMPORTER,575,630,paragraph,unit,
TXT_IMPORTER_1490783956032,TXT_IMPORTER,630,704,paragraph,unit,
TXT_IMPORTER_1490783956033,TXT_IMPORTER,704,718,paragraph,unit,
TXT_IMPORTER_1490783956034,TXT_IMPORTER,718,781,paragraph,unit,
TXT_IMPORTER_1490783956035,TXT_IMPORTER,781,799,paragraph,unit,
TXT_IMPORTER_1490783956036,TXT_IMPORTER,799,974,paragraph,unit,
TXT_IMPORTER_1490783956037,TXT_IMPORTER,974,1031,paragraph,unit,
TXT_IMPORTER_1490783956038,TXT_IMPORTER,1031,1113,paragraph,unit,
TXT_IMPORTER_1490783956039,TXT_IMPORTER,0,5,paragraph,unit,
TXT_IMPORTER_1490783956040,TXT_IMPORTER,5,329,paragraph,unit,
TXT_IMPORTER_1490783956041,TXT_IMPORTER,329,358,paragraph,unit,
TXT_IMPORTER_1490783956042,TXT_IMPORTER,358,490,paragraph,unit,
TXT_IMPORTER_1490783956043,TXT_IMPORTER,490,505,paragraph,unit,
TXT_IMPORTER_1490783956044,TXT_IMPORTER,505,578,paragraph,unit,
TXT_IMPORTER_1490783956045,TXT_IMPORTER,578,633,paragraph,unit,
TXT_IMPORTER_1490783956046,TXT_IMPORTER,633,707,paragraph,unit,
TXT_IMPORTER_1490783956047,TXT_IMPORTER,707,721,paragraph,unit,
TXT_IMPORTER_1490783956048,TXT_IMPORTER,721,784,paragraph,unit,
TXT_IMPORTER_1490783956049,TXT_IMPORTER,784,802,paragraph,unit,
TXT_IMPORTER_1490783956050,TXT_IMPORTER,802,977,paragraph,unit,
