id,annotator,start,end,category,class,
0,SYSTEM,0,1103,,,
TXT_IMPORTER_1491836570210,TXT_IMPORTER,0,5,paragraph,unit,
TXT_IMPORTER_1491836570211,TXT_IMPORTER,5,73,paragraph,unit,
TXT_IMPORTER_1491836570212,TXT_IMPORTER,73,135,paragraph,unit,
TXT_IMPORTER_1491836570213,TXT_IMPORTER,135,208,paragraph,unit,
TXT_IMPORTER_1491836570214,TXT_IMPORTER,208,224,paragraph,unit,
TXT_IMPORTER_1491836570215,TXT_IMPORTER,224,325,paragraph,unit,
TXT_IMPORTER_1491836570216,TXT_IMPORTER,325,352,paragraph,unit,
TXT_IMPORTER_1491836570217,TXT_IMPORTER,352,415,paragraph,unit,
TXT_IMPORTER_1491836570218,TXT_IMPORTER,415,481,paragraph,unit,
TXT_IMPORTER_1491836570219,TXT_IMPORTER,481,496,paragraph,unit,
TXT_IMPORTER_1491836570220,TXT_IMPORTER,496,531,paragraph,unit,
TXT_IMPORTER_1491836570221,TXT_IMPORTER,531,568,paragraph,unit,
TXT_IMPORTER_1491836570222,TXT_IMPORTER,568,623,paragraph,unit,
TXT_IMPORTER_1491836570223,TXT_IMPORTER,623,697,paragraph,unit,
TXT_IMPORTER_1491836570224,TXT_IMPORTER,697,711,paragraph,unit,
TXT_IMPORTER_1491836570225,TXT_IMPORTER,711,729,paragraph,unit,
TXT_IMPORTER_1491836570226,TXT_IMPORTER,729,773,paragraph,unit,
TXT_IMPORTER_1491836570227,TXT_IMPORTER,773,791,paragraph,unit,
TXT_IMPORTER_1491836570228,TXT_IMPORTER,791,845,paragraph,unit,
TXT_IMPORTER_1491836570229,TXT_IMPORTER,845,903,paragraph,unit,
TXT_IMPORTER_1491836570230,TXT_IMPORTER,903,964,paragraph,unit,
TXT_IMPORTER_1491836570231,TXT_IMPORTER,964,1021,paragraph,unit,
TXT_IMPORTER_1491836570232,TXT_IMPORTER,1021,1103,paragraph,unit,
vsteyer_1491836586120,vsteyer,0,5,Segment1,unit,
vsteyer_1491836605190,vsteyer,332,352,Segment1,unit,
vsteyer_1491836607275,vsteyer,488,496,Segment1,unit,
vsteyer_1491836611635,vsteyer,575,623,Segment1,unit,
vsteyer_1491836615497,vsteyer,704,711,Segment1,unit,
vsteyer_1491836617623,vsteyer,780,791,Segment1,unit,
vsteyer_1491836620422,vsteyer,971,1021,Segment1,unit,
vsteyer_1491836625765,vsteyer,12,73,Segment2,unit,
vsteyer_1491836628408,vsteyer,73,135,Segment2,unit,
vsteyer_1491836630452,vsteyer,135,208,Segment2,unit,
vsteyer_1491836633156,vsteyer,208,224,Segment2,unit,
vsteyer_1491836634550,vsteyer,224,325,Segment2,unit,
vsteyer_1491836638058,vsteyer,359,415,Segment2,unit,
vsteyer_1491836639570,vsteyer,415,481,Segment2,unit,
vsteyer_1491836643972,vsteyer,503,531,Segment2,unit,
vsteyer_1491836645162,vsteyer,531,568,Segment2,unit,
vsteyer_1491836648703,vsteyer,630,697,Segment2,unit,
vsteyer_1491836650980,vsteyer,718,729,Segment2,unit,
vsteyer_1491836652896,vsteyer,729,773,Segment2,unit,
vsteyer_1491836656573,vsteyer,798,845,Segment2,unit,
vsteyer_1491836658318,vsteyer,845,903,Segment2,unit,
vsteyer_1491836660197,vsteyer,903,964,Segment2,unit,
vsteyer_1491836662451,vsteyer,1028,1103,Segment2,unit,
