id,annotator,start,end,category,class,
0,SYSTEM,0,1748,,,
TXT_IMPORTER_1488908017437,TXT_IMPORTER,0,46,paragraph,unit,
TXT_IMPORTER_1488908017438,TXT_IMPORTER,46,163,paragraph,unit,
TXT_IMPORTER_1488908017439,TXT_IMPORTER,163,176,paragraph,unit,
TXT_IMPORTER_1488908017440,TXT_IMPORTER,176,319,paragraph,unit,
TXT_IMPORTER_1488908017441,TXT_IMPORTER,319,336,paragraph,unit,
TXT_IMPORTER_1488908017442,TXT_IMPORTER,336,396,paragraph,unit,
TXT_IMPORTER_1488908017443,TXT_IMPORTER,396,409,paragraph,unit,
TXT_IMPORTER_1488908017444,TXT_IMPORTER,409,738,paragraph,unit,
TXT_IMPORTER_1488908017445,TXT_IMPORTER,738,750,paragraph,unit,
TXT_IMPORTER_1488908017446,TXT_IMPORTER,750,796,paragraph,unit,
TXT_IMPORTER_1488908017447,TXT_IMPORTER,796,1028,paragraph,unit,
TXT_IMPORTER_1488908017448,TXT_IMPORTER,1028,1047,paragraph,unit,
TXT_IMPORTER_1488908017449,TXT_IMPORTER,1047,1177,paragraph,unit,
TXT_IMPORTER_1488908017450,TXT_IMPORTER,1177,1189,paragraph,unit,
TXT_IMPORTER_1488908017451,TXT_IMPORTER,1189,1401,paragraph,unit,
TXT_IMPORTER_1488908017452,TXT_IMPORTER,1401,1413,paragraph,unit,
TXT_IMPORTER_1488908017453,TXT_IMPORTER,1413,1498,paragraph,unit,
TXT_IMPORTER_1488908017454,TXT_IMPORTER,1498,1508,paragraph,unit,
TXT_IMPORTER_1488908017455,TXT_IMPORTER,1508,1748,paragraph,unit,
anonymous_1488908029548,anonymous,5,46,default,unit,
anonymous_1488908038272,anonymous,76,81,default,unit,
anonymous_1488908052639,anonymous,50,75,default,unit,
anonymous_1488908067950,anonymous,83,91,default,unit,
anonymous_1488908073703,anonymous,93,119,default,unit,
anonymous_1488908114749,anonymous,120,163,default,unit,
anonymous_1488908125612,anonymous,167,176,default,unit,
anonymous_1488908160428,anonymous,180,187,default,unit,
anonymous_1488908162840,anonymous,188,191,default,unit,
anonymous_1488908173410,anonymous,192,239,default,unit,
anonymous_1488908301972,anonymous,240,267,default,unit,
anonymous_1488908318746,anonymous,268,306,default,unit,
anonymous_1488908323237,anonymous,307,319,default,unit,
anonymous_1488908326980,anonymous,324,336,default,unit,
anonymous_1488908330403,anonymous,340,396,default,unit,
anonymous_1488908332560,anonymous,400,409,default,unit,
anonymous_1488908339811,anonymous,413,416,default,unit,
anonymous_1488908341840,anonymous,417,452,default,unit,
anonymous_1488908346872,anonymous,453,475,default,unit,
anonymous_1488908362865,anonymous,476,507,default,unit,
anonymous_1488908577071,anonymous,508,568,default,unit,
anonymous_1488908581619,anonymous,569,580,default,unit,
anonymous_1488908584031,anonymous,582,604,default,unit,
anonymous_1488908589514,anonymous,605,610,default,unit,
anonymous_1488908626635,anonymous,612,641,default,unit,
anonymous_1488908674950,anonymous,642,738,default,unit,
anonymous_1488908679307,anonymous,742,750,default,unit,
anonymous_1488908697147,anonymous,755,796,default,unit,
anonymous_1488908705007,anonymous,800,823,default,unit,
anonymous_1488908706950,anonymous,824,836,default,unit,
anonymous_1488908710715,anonymous,837,992,default,unit,
anonymous_1488908760785,anonymous,994,1028,default,unit,
anonymous_1488908776742,anonymous,1032,1047,default,unit,
anonymous_1488908804123,anonymous,1052,1120,default,unit,
anonymous_1488908826462,anonymous,1122,1156,default,unit,
anonymous_1488908833045,anonymous,1157,1160,default,unit,
anonymous_1488908836265,anonymous,1161,1177,default,unit,
anonymous_1488908842416,anonymous,1181,1189,default,unit,
anonymous_1488908844755,anonymous,1193,1204,default,unit,
anonymous_1488908857825,anonymous,1205,1217,default,unit,
anonymous_1488908864741,anonymous,1218,1246,default,unit,
anonymous_1488908878352,anonymous,1247,1354,default,unit,
anonymous_1488908897062,anonymous,1355,1371,default,unit,
anonymous_1488908900716,anonymous,1373,1401,default,unit,
anonymous_1488908903802,anonymous,1405,1413,default,unit,
anonymous_1488908906230,anonymous,1418,1427,default,unit,
anonymous_1488908910078,anonymous,1428,1431,default,unit,
anonymous_1488908912965,anonymous,1432,1469,default,unit,
anonymous_1488908919768,anonymous,1469,1498,default,unit,
anonymous_1488908931087,anonymous,1502,1507,default,unit,
anonymous_1488908958337,anonymous,1725,1748,default,unit,
anonymous_1488908962672,anonymous,1718,1723,default,unit,
anonymous_1488908965027,anonymous,1713,1748,default,unit,
anonymous_1488908968958,anonymous,1661,1712,default,unit,
anonymous_1488908975408,anonymous,1627,1653,default,unit,
anonymous_1488908979452,anonymous,1654,1660,default,unit,
anonymous_1488908985956,anonymous,1606,1626,default,unit,
anonymous_1488908989943,anonymous,1512,1516,default,unit,
anonymous_1488908996382,anonymous,1517,1583,default,unit,
anonymous_1488909004445,anonymous,1584,1587,default,unit,
anonymous_1488909019612,anonymous,1588,1605,default,unit,
