id,annotator,start,end,category,class,
0,SYSTEM,0,165,,,
TXT_IMPORTER_1519132538536,TXT_IMPORTER,0,5,paragraph,unit,
TXT_IMPORTER_1519132538537,TXT_IMPORTER,5,31,paragraph,unit,
TXT_IMPORTER_1519132538538,TXT_IMPORTER,31,42,paragraph,unit,
TXT_IMPORTER_1519132538539,TXT_IMPORTER,42,86,paragraph,unit,
TXT_IMPORTER_1519132538540,TXT_IMPORTER,86,93,paragraph,unit,
TXT_IMPORTER_1519132538541,TXT_IMPORTER,93,108,paragraph,unit,
TXT_IMPORTER_1519132538542,TXT_IMPORTER,108,138,paragraph,unit,
TXT_IMPORTER_1519132538543,TXT_IMPORTER,138,165,paragraph,unit,
TXT_IMPORTER_1519132550617,TXT_IMPORTER,0,27,paragraph,unit,
TXT_IMPORTER_1519132550618,TXT_IMPORTER,27,38,paragraph,unit,
TXT_IMPORTER_1519132550619,TXT_IMPORTER,38,82,paragraph,unit,
TXT_IMPORTER_1519132550620,TXT_IMPORTER,82,89,paragraph,unit,
TXT_IMPORTER_1519132550621,TXT_IMPORTER,89,104,paragraph,unit,
TXT_IMPORTER_1519132550622,TXT_IMPORTER,104,133,paragraph,unit,
TXT_IMPORTER_1519132550623,TXT_IMPORTER,133,159,paragraph,unit,
lhuber_1519132550624,lhuber,8,31,Segment1,unit,
lhuber_1519132550625,lhuber,35,42,Segment2,unit,
lhuber_1519132550626,lhuber,46,86,Segment1,unit,
lhuber_1519132550627,lhuber,90,93,Segment2,unit,
lhuber_1519132550628,lhuber,93,108,Segment2,unit,
lhuber_1519132550629,lhuber,112,138,Segment1,unit,
lhuber_1519132550630,lhuber,138,165,Segment1,unit,
abiver_1519132683264,abiver,0,5,default,unit,
