id,annotator,start,end,category,class,
0,SYSTEM,0,165,,,
TXT_IMPORTER_1519207217117,TXT_IMPORTER,0,5,paragraph,unit,
TXT_IMPORTER_1519207217118,TXT_IMPORTER,5,31,paragraph,unit,
TXT_IMPORTER_1519207217119,TXT_IMPORTER,31,42,paragraph,unit,
TXT_IMPORTER_1519207217120,TXT_IMPORTER,42,86,paragraph,unit,
TXT_IMPORTER_1519207217121,TXT_IMPORTER,86,93,paragraph,unit,
TXT_IMPORTER_1519207217122,TXT_IMPORTER,93,108,paragraph,unit,
TXT_IMPORTER_1519207217123,TXT_IMPORTER,108,138,paragraph,unit,
TXT_IMPORTER_1519207217124,TXT_IMPORTER,138,165,paragraph,unit,
ecolin_1519207231821,ecolin,0,5,Segment1,unit,
ecolin_1519207234703,ecolin,9,31,Segment1,unit,
ecolin_1519207237619,ecolin,45,86,Segment1,unit,
ecolin_1519207240965,ecolin,111,138,Segment1,unit,
ecolin_1519207257272,ecolin,35,42,Segment2,unit,
ecolin_1519207259841,ecolin,90,93,Segment2,unit,
ecolin_1519207264731,ecolin,93,108,Segment2bis,unit,
ecolin_1519207267692,ecolin,138,165,Segment1bis,unit,
