id,annotator,start,end,category,class,
0,SYSTEM,0,491,,,
TXT_IMPORTER_1519133728301,TXT_IMPORTER,0,5,paragraph,unit,
TXT_IMPORTER_1519133728302,TXT_IMPORTER,5,74,paragraph,unit,
TXT_IMPORTER_1519133728303,TXT_IMPORTER,74,118,paragraph,unit,
TXT_IMPORTER_1519133728304,TXT_IMPORTER,118,160,paragraph,unit,
TXT_IMPORTER_1519133728305,TXT_IMPORTER,160,179,paragraph,unit,
TXT_IMPORTER_1519133728306,TXT_IMPORTER,179,201,paragraph,unit,
TXT_IMPORTER_1519133728307,TXT_IMPORTER,201,235,paragraph,unit,
TXT_IMPORTER_1519133728308,TXT_IMPORTER,235,291,paragraph,unit,
TXT_IMPORTER_1519133728309,TXT_IMPORTER,291,304,paragraph,unit,
TXT_IMPORTER_1519133728310,TXT_IMPORTER,304,320,paragraph,unit,
TXT_IMPORTER_1519133728311,TXT_IMPORTER,320,350,paragraph,unit,
TXT_IMPORTER_1519133728312,TXT_IMPORTER,350,389,paragraph,unit,
TXT_IMPORTER_1519133728313,TXT_IMPORTER,389,455,paragraph,unit,
TXT_IMPORTER_1519133728314,TXT_IMPORTER,455,491,paragraph,unit,
abiver_1519133782962,abiver,10,74,Segment1,unit,
abiver_1519133786299,abiver,74,118,Segment1bis,unit,
abiver_1519133793174,abiver,123,160,Segment2,unit,
abiver_1519133795889,abiver,184,201,Segment2,unit,
abiver_1519133797827,abiver,201,235,Segment2bis,unit,
abiver_1519133799984,abiver,235,291,Segment2,unit,
abiver_1519133803193,abiver,309,320,Segment2,unit,
abiver_1519133805468,abiver,355,389,Segment2,unit,
abiver_1519133807415,abiver,389,455,Segment2bis,unit,
abiver_1519133810375,abiver,455,491,Segment2,unit,
abiver_1519133816887,abiver,165,179,Segment1,unit,
abiver_1519133820745,abiver,296,304,Segment1,unit,
abiver_1519133823697,abiver,325,350,Segment1,unit,
abiver_1519133863904,abiver,0,5,Segment1,unit,
