id,annotator,start,end,category,class,
0,SYSTEM,0,1103,,,
TXT_IMPORTER_1519134900328,TXT_IMPORTER,0,5,paragraph,unit,
TXT_IMPORTER_1519134900329,TXT_IMPORTER,5,73,paragraph,unit,
TXT_IMPORTER_1519134900330,TXT_IMPORTER,73,135,paragraph,unit,
TXT_IMPORTER_1519134900331,TXT_IMPORTER,135,208,paragraph,unit,
TXT_IMPORTER_1519134900332,TXT_IMPORTER,208,224,paragraph,unit,
TXT_IMPORTER_1519134900333,TXT_IMPORTER,224,325,paragraph,unit,
TXT_IMPORTER_1519134900334,TXT_IMPORTER,325,352,paragraph,unit,
TXT_IMPORTER_1519134900335,TXT_IMPORTER,352,415,paragraph,unit,
TXT_IMPORTER_1519134900336,TXT_IMPORTER,415,481,paragraph,unit,
TXT_IMPORTER_1519134900337,TXT_IMPORTER,481,496,paragraph,unit,
TXT_IMPORTER_1519134900338,TXT_IMPORTER,496,531,paragraph,unit,
TXT_IMPORTER_1519134900339,TXT_IMPORTER,531,568,paragraph,unit,
TXT_IMPORTER_1519134900340,TXT_IMPORTER,568,623,paragraph,unit,
TXT_IMPORTER_1519134900341,TXT_IMPORTER,623,697,paragraph,unit,
TXT_IMPORTER_1519134900342,TXT_IMPORTER,697,711,paragraph,unit,
TXT_IMPORTER_1519134900343,TXT_IMPORTER,711,729,paragraph,unit,
TXT_IMPORTER_1519134900344,TXT_IMPORTER,729,773,paragraph,unit,
TXT_IMPORTER_1519134900345,TXT_IMPORTER,773,791,paragraph,unit,
TXT_IMPORTER_1519134900346,TXT_IMPORTER,791,845,paragraph,unit,
TXT_IMPORTER_1519134900347,TXT_IMPORTER,845,903,paragraph,unit,
TXT_IMPORTER_1519134900348,TXT_IMPORTER,903,964,paragraph,unit,
TXT_IMPORTER_1519134900349,TXT_IMPORTER,964,1021,paragraph,unit,
TXT_IMPORTER_1519134900350,TXT_IMPORTER,1021,1103,paragraph,unit,
abiver_1519134915389,abiver,0,5,Segment2bis,unit,
abiver_1519134930282,abiver,12,73,Segment1,unit,
abiver_1519134931894,abiver,73,135,Segment1,unit,
abiver_1519134934808,abiver,135,208,Segment1,unit,
abiver_1519134937418,abiver,208,224,Segment1,unit,
abiver_1519134939394,abiver,224,325,Segment1,unit,
abiver_1519134942704,abiver,359,415,Segment1,unit,
abiver_1519134944753,abiver,415,481,Segment1,unit,
abiver_1519134947998,abiver,503,531,Segment1,unit,
abiver_1519134951058,abiver,531,568,Segment1,unit,
abiver_1519134953845,abiver,630,697,Segment1,unit,
abiver_1519134958277,abiver,718,729,Segment1,unit,
abiver_1519134961412,abiver,729,773,Segment1,unit,
abiver_1519134965022,abiver,798,845,Segment1,unit,
abiver_1519134967774,abiver,845,903,Segment1,unit,
abiver_1519134970614,abiver,903,964,Segment1,unit,
abiver_1519134975411,abiver,1028,1103,Segment1,unit,
abiver_1519134987975,abiver,332,352,Segment2,unit,
abiver_1519135002984,abiver,488,496,Segment2,unit,
abiver_1519135004554,abiver,575,623,Segment2,unit,
abiver_1519135007561,abiver,704,711,Segment2,unit,
abiver_1519135009756,abiver,780,791,Segment2,unit,
abiver_1519135011463,abiver,971,1021,Segment2,unit,
