id,annotator,start,end,category,class,
0,SYSTEM,0,648,,,
TXT_IMPORTER_1490785806086,TXT_IMPORTER,0,5,paragraph,unit,
TXT_IMPORTER_1490785806087,TXT_IMPORTER,5,66,paragraph,unit,
TXT_IMPORTER_1490785806088,TXT_IMPORTER,66,80,paragraph,unit,
TXT_IMPORTER_1490785806089,TXT_IMPORTER,80,294,paragraph,unit,
TXT_IMPORTER_1490785806090,TXT_IMPORTER,294,308,paragraph,unit,
TXT_IMPORTER_1490785806091,TXT_IMPORTER,308,394,paragraph,unit,
TXT_IMPORTER_1490785806092,TXT_IMPORTER,394,406,paragraph,unit,
TXT_IMPORTER_1490785806093,TXT_IMPORTER,406,648,paragraph,unit,
vsteyer_1490785819084,vsteyer,0,5,Segment2,unit,
vsteyer_1490785862554,vsteyer,11,66,Segment1,unit,
vsteyer_1490785898411,vsteyer,72,80,Segment2,unit,
vsteyer_1490785919429,vsteyer,86,169,Segment1,unit,
vsteyer_1490785928959,vsteyer,170,265,Segment1bis,unit,
vsteyer_1490785942682,vsteyer,266,294,Segment1,unit,
vsteyer_1490785949397,vsteyer,300,307,Segment2,unit,
vsteyer_1490785959600,vsteyer,314,393,Segment1,unit,
vsteyer_1490785964962,vsteyer,400,405,Segment2,unit,
vsteyer_1490785972342,vsteyer,412,505,Segment1,unit,
vsteyer_1490785983161,vsteyer,506,553,Segment1bis,unit,
vsteyer_1490785993228,vsteyer,554,612,Segment1,unit,
vsteyer_1490786003821,vsteyer,613,648,Segment1bis,unit,
