id,annotator,start,end,category,class,
0,SYSTEM,0,643,,,
TXT_IMPORTER_1491837050783,TXT_IMPORTER,0,5,paragraph,unit,
TXT_IMPORTER_1491837050784,TXT_IMPORTER,5,66,paragraph,unit,
TXT_IMPORTER_1491837050785,TXT_IMPORTER,66,80,paragraph,unit,
TXT_IMPORTER_1491837050786,TXT_IMPORTER,80,169,paragraph,unit,
TXT_IMPORTER_1491837050787,TXT_IMPORTER,169,264,paragraph,unit,
TXT_IMPORTER_1491837050788,TXT_IMPORTER,264,292,paragraph,unit,
TXT_IMPORTER_1491837050789,TXT_IMPORTER,292,306,paragraph,unit,
TXT_IMPORTER_1491837050790,TXT_IMPORTER,306,392,paragraph,unit,
TXT_IMPORTER_1491837050791,TXT_IMPORTER,392,404,paragraph,unit,
TXT_IMPORTER_1491837050792,TXT_IMPORTER,404,503,paragraph,unit,
TXT_IMPORTER_1491837050793,TXT_IMPORTER,503,550,paragraph,unit,
TXT_IMPORTER_1491837050794,TXT_IMPORTER,550,608,paragraph,unit,
TXT_IMPORTER_1491837050795,TXT_IMPORTER,608,643,paragraph,unit,
vsteyer_1491837062461,vsteyer,0,5,Segment1,unit,
vsteyer_1491837073406,vsteyer,72,80,Segment1,unit,
vsteyer_1491837075846,vsteyer,298,306,Segment1,unit,
vsteyer_1491837078212,vsteyer,398,404,Segment1,unit,
vsteyer_1491837083146,vsteyer,11,66,Segment2,unit,
vsteyer_1491837085328,vsteyer,86,169,Segment2,unit,
vsteyer_1491837087904,vsteyer,169,264,Segment2,unit,
vsteyer_1491837090421,vsteyer,264,292,Segment2,unit,
vsteyer_1491837096421,vsteyer,312,392,Segment2,unit,
vsteyer_1491837099832,vsteyer,410,503,Segment2,unit,
vsteyer_1491837101932,vsteyer,503,550,Segment2,unit,
vsteyer_1491837109487,vsteyer,550,608,Segment2,unit,
vsteyer_1491837112350,vsteyer,608,643,Segment2,unit,
