id,annotator,start,end,category,class,
0,SYSTEM,0,159,,,
TXT_IMPORTER_1491487998533,TXT_IMPORTER,0,27,paragraph,unit,
TXT_IMPORTER_1491487998534,TXT_IMPORTER,27,38,paragraph,unit,
TXT_IMPORTER_1491487998535,TXT_IMPORTER,38,82,paragraph,unit,
TXT_IMPORTER_1491487998536,TXT_IMPORTER,82,89,paragraph,unit,
TXT_IMPORTER_1491487998537,TXT_IMPORTER,89,104,paragraph,unit,
TXT_IMPORTER_1491487998538,TXT_IMPORTER,104,133,paragraph,unit,
TXT_IMPORTER_1491487998539,TXT_IMPORTER,133,159,paragraph,unit,
lhuber_1491488050026,lhuber,5,27,Segment1,unit,
lhuber_1491488053501,lhuber,31,38,Segment2,unit,
lhuber_1491488056897,lhuber,42,82,Segment1,unit,
lhuber_1491488060794,lhuber,86,89,Segment2,unit,
lhuber_1491488062146,lhuber,89,104,Segment2,unit,
lhuber_1491488065179,lhuber,108,133,Segment1,unit,
lhuber_1491488066582,lhuber,133,159,Segment1,unit,
